Fecha Descarga;IdDataset;Nombre;Sector;Número de recursos;Número de descargas;Número de votos;Formatos;Frecuencia de actualización;Fecha de incorporación;Fecha última actualización de metadatos;Fecha última actualización de datos
29/08/2019;;Empresas alojadas en la Red de Viveros de Empresa de la Dirección General de Comercio y Emprendimiento;Economía;;1510;805;,XLS;Semestral;41936;;
29/08/2019;;Empresas de Mudanzas;Sector público;;658;411;,CSV,XLS;Mensual;42352;;
29/08/2019;;Empresas por epígrafe de actividad económica: IAE;Hacienda;;2729;784;,XLS;Anual;43187;;
29/08/2019;;EMT. Calendario, grupos, líneas y paradas en formato xlsx;Transporte;;1880;1009;,XLS;Diaria;41905;;
29/08/2019;;EMT. Calendario, grupos, líneas y paradas en formato xml;Transporte;;1438;967;,XML;Diaria;41905;;
29/08/2019;;EMT. Flota de autobuses;Transporte;;662;11;,XLS;Semestral;43319;;
29/08/2019;;EMT. Grado de ocupación de líneas de autobús;Transporte;;137;3;,XLS;Anual;43614;;
29/08/2019;;EMT. Incidencias del servicio;Transporte;;9889;801;,RSS;Tiempo real;41710;;
29/08/2019;;Enajenaciones del patrimonio municipal del suelo ;Urbanismo e infraestructuras;;34;0;,XLS;Anual;43679;;
29/08/2019;;Encomiendas de gestión a sociedades municipales;Hacienda;;939;506;,XLS;Mensual;42355;;
29/08/2019;;Encuesta de calidad de vida y satisfacción con los servicios públicos de la ciudad de Madrid (serie);Sector público;;4603;266;,XLS;Sin definir;43690;;
29/08/2019;;Encuesta de Salud de la Ciudad de Madrid 2013;Salud;;383;81;,CSV;Sin definir;42720;;
29/08/2019;;Encuesta de satisfacción a usuarios de la Oficina de Objetos Perdidos 2017 ;Sector público;;103;8;,XLS;Anual;43147;;
29/08/2019;;Encuesta de satisfacción de las participantes en jornadas y seminarios de autoprotección para mujeres (serie);Deporte;;58;3;,XLS;Anual;43523;;
29/08/2019;;Encuesta de Satisfacción de las personas atendidas en el Centro de Prevención de Deterioro Cognitivo (CPDC) (Serie);Salud;;166;251;,CSV;Anual;42738;;
29/08/2019;;Encuesta de Satisfacción de las personas atendidas en la Consulta de Consejo sanitario en viajes del Centro de Madrid Salud Internacional (CMSI) (Serie);Salud;;204;228;,CSV;Anual;42738;;
29/08/2019;;Encuesta de Satisfacción de las personas que comunican avisos al Departamento de Control de Vectores (UTCV) (Serie);Salud;;154;211;,CSV;Sin definir;42738;;
29/08/2019;;Encuesta de Satisfacción de las personas que han solicitado un Informe de Habitabilidad y Salubridad de la vivienda (Serie);Salud;;138;248;,CSV;Sin definir;42738;;
29/08/2019;;Encuesta de Satisfacción de las personas que han utilizado el Servicio de toma de muestras de aguas de consumo en grifo (Serie);Salud;;237;245;,CSV;Anual;42738;;
29/08/2019;;Encuesta de satisfacción de las personas usuarias del Centro de Protección Animal (CPA) (Serie);Salud;;204;185;,CSV;Anual;42738;;
29/08/2019;;Encuesta de satisfacción de los familiares que acuden acompañando las personas atendidas en el Centro de Prevención de Deterioro Cognitivo (Serie);Salud;;233;223;,CSV;Anual;42738;;
29/08/2019;;Encuesta de satisfacción de usuarios de la Oficina de Atención al Ciudadano de Madrid Salud (Serie);Salud;;236;203;,CSV;Anual;42738;;
29/08/2019;;Encuesta del Servicio de  Sugerencias y Reclamaciones (serie anual);Sector público;;617;192;,XLS;Anual;42738;;
29/08/2019;;Entidades Colaboradoras Urbanísticas (ECU) ;Urbanismo e infraestructuras;;3754;4;,CSV,GEO,JSON,RDF,API;Anual;42859;;
29/08/2019;;Entidades de participación ciudadana. Asociaciones (Sección 1ª);Sociedad y bienestar;;5947;745;,XLS;Mensual;42471;;
29/08/2019;;Entidades de participación ciudadana. Federaciones, Confederaciones y Uniones de Asociaciones (Sección 1ª);Sociedad y bienestar;;1937;765;,XLS;Mensual;42471;;
29/08/2019;;Entidades de participación ciudadana. Fundaciones (Sección 2ª);Sociedad y bienestar;;273;4;,XLS;Mensual;42129;;
29/08/2019;;Epígrafes de actividad económica;Economía;;686;154;,XLS;Sin definir;43670;;
29/08/2019;;Escuelas de español para extranjeros de la ciudad de Madrid (www.esmadrid.com);Turismo;;2261;342;,XML;Diaria;42471;;
29/08/2019;;Escuelas Infantiles Municipales;Educación;;8608;833;,CSV,GEO,JSON,RDF,API;Anual;42237;;
29/08/2019;;Escuelas Infantiles Municipales: empresas gestoras;Educación;;344;5;,XLS;Anual;43514;;
29/08/2019;;Espacios relacionados con Deporte y Turismo de la ciudad de Madrid (www.esmadrid.com);Turismo;;967;382;,XML;Diaria;42471;;
29/08/2019;;Estaciones de suministro de combustibles menos contaminantes;Transporte;;704;838;,XLS;Semestral;42934;;
29/08/2019;;Estaciones Depuradoras del Municipio de Madrid. Calidad del vertido de las aguas residuales depuradas;Medio ambiente;;601;12;,XLS;Trimestral;41834;;
29/08/2019;;Estaciones regeneradoras de aguas residuales de la ciudad de Madrid;Medio ambiente;;4119;4;,CSV,GEO,JSON,RDF,API;Diaria;43514;;
29/08/2019;;Estructuras singulares en vías y espacios públicos ;Urbanismo e infraestructuras;;13;0;,XLS;Anual;43679;;
29/08/2019;;Estudio de necesidades, demandas y expectativas de mujeres atendidas en los Centros de Atención a las Adicciones (CAD);Salud;;42;3;,CSV;Anual;43579;;
29/08/2019;;Estudio de satisfacción de usuarios de los Centros de Atención a las Adicciones (CADs) (Serie);Salud;;187;179;,CSV;Sin definir;42738;;
29/08/2019;;Estudio del Parque Circulante de la ciudad de Madrid ;Transporte;;708;682;,XLS;Sin definir;41908;;
29/08/2019;;Eventos de carácter comercial celebrados en CentroCentro;Cultura y ocio;;83;4;,XLS;Anual;42738;;
29/08/2019;;Eventos municipales para el fomento de la igualdad de oportunidades los próximos 100 días;Sociedad y bienestar;;5205;775;,CSV,GEO,JSON,RDF,API;Diaria;43670;;
29/08/2019;;Fuentes de agua para beber;Sector público;;20768;455;,CSV,GEO,XLS;Trimestral;42352;;
29/08/2019;;Farmacias de guardia;Salud;;47684;1038;,XLS;Mensual;42738;;
29/08/2019;;Fichero de subvenciones de cooperación al desarrollo;Sociedad y bienestar;;466;753;,XLS;Sin definir;41744;;
29/08/2019;;Gastos protocolarios y de viajes;Sector público;;2966;606;,XLS;Trimestral;41936;;
29/08/2019;;Hidrantes de protección contra incendios en espacios públicos;Medio ambiente;;2059;8;,CSV,XLS;Anual;42471;;
29/08/2019;;Impuesto de vehículos de tracción mecánica (IVTM): padrón de vehículos;Hacienda;;2491;891;,XLS;Anual;41710;;
29/08/2019;;Impuesto sobre Construcciones, Instalaciones y Obras (ICIO):  Autoliquidaciones (2005-2016);Hacienda;;946;921;,XLS;Anual;41710;;
